,avg_rank,min_rank,max_rank,avg_score,std_rank,methods_count
tenure,1.0,1,1,152.87525035860227,0.0,5
internetservice_Fiber optic,3.4,2,5,122.05324474336592,1.3564659966250536,5
contract_Two year,4.0,2,5,113.2282083246437,1.0954451150103321,5
paymentmethod_Electronic check,5.8,3,11,119.09518905202356,2.7856776554368237,5
totalcharges,7.0,3,14,44.29046633791993,3.847076812334269,5
techsupport_No internet service,9.2,5,15,62.3057090743733,3.249615361854384,5
monthlycharges,9.8,2,30,46.0330331985539,10.777754868245983,4
deviceprotection_No internet service,10.6,5,24,62.30507384891556,6.887670143089026,4
onlinesecurity_Yes,10.8,5,16,35.41517697728225,3.9698866482558417,5
internetservice_No,11.2,5,19,62.302058665256844,5.528109984434102,5
streamingtv_No internet service,11.2,5,19,62.306245336522736,5.491812087098393,5
streamingmovies_No internet service,11.6,5,21,62.30569026080875,5.71314274283428,4
contract_One year,12.2,5,17,37.49169530786058,4.791659420284375,5
paperlessbilling_Yes,12.2,5,20,45.95707432754709,4.874423042781576,5
seniorcitizen,12.4,3,23,24.42780078951997,8.114185110040317,4
onlinebackup_No internet service,12.6,5,25,62.304327483168535,6.6513156593263565,4
onlinesecurity_No internet service,12.8,5,26,62.30446533718297,7.678541528180987,4
techsupport_Yes,13.0,5,19,31.812596216172533,6.54217089351845,5
dependents_Yes,14.6,5,21,32.50200458240868,5.425863986500215,4
partner_Yes,15.2,5,24,24.437598516532343,8.084553172563094,3
multiplelines_Yes,16.4,5,28,2.16262787704883,9.414881836751857,3
paymentmethod_Mailed check,17.2,5,24,9.058933680126518,6.615134163416491,3
paymentmethod_Credit card (automatic),18.8,5,23,21.79745387475311,6.939740629158989,1
onlinebackup_Yes,19.0,5,29,7.706068979280568,7.92464510246358,3
multiplelines_No phone service,19.6,5,29,0.3619618128824774,9.046546302318914,2
phoneservice_Yes,20.0,5,29,0.3627880846771737,9.121403400793104,2
streamingtv_Yes,21.0,5,30,5.935189697786546,8.508818954473059,1
streamingmovies_Yes,22.0,5,28,4.601239623044455,8.555699854482976,1
gender_Male,22.0,5,30,0.004529430866747097,9.143303560529969,2
deviceprotection_Yes,23.4,5,30,4.292436281220404,9.308061022576076,1
